"",""
"+ I a accountant address age also am and appearance assistant be beautiful birthday boss boy brave builder character child cleaner clever collect dislikes driver e.g. engineer executive family female girl grades he her him is its job kinds lawyer likes live look male man manager mechanic mother my name names nicknames not nurse. occupation occupational of our personal places porter professions salary sales sex she slim status teacher titles to too unemployed us very wage we woman work worker young your …","beautiful birthday boy child clever driver family girl he her him its live man my name our she too us very we woman young your"
"brother dad daughter family home husband mum parent sister son wife","dad family home mum parent sister"
"mate",""
"person their these they those","their these they"
"God afternoon answer ask believe bye employ evening faith from good goodbye guest hear hello hi life morning night oh partner present send social thanks to together write","afternoon ask bye evening goodbye hello hi"
"build dining door double flat floor glass heat house ing inside key light preposition room shower single wall window","door floor house room"
"and bedclothes boiler case clock computer cup e.g. hammer hi-fi knife machines mobile names of on/off plate sack spanner strike switch tools","clock computer"
"welfare",""
"dark garden museum out outside place",""
"eat full",""
"T-shirt articles clothes clothing coat dress e.g. fashion glasses jacket jeans look names of off shirt shoes skirt socks take trousers un wear","clothes dress shirt skirt trousers wear"
"arrive come go home keep on out straight to","home"
"ALSO Friday Monday Saturday Sunday Thursday Tuesday Wednesday a a.m. afternoon am bed bored boring business by e.g. earn evening fee get go ings job memo message never news o'clock often overtime p.m. paper parcel pen pencil pm run school sometimes to today tomorrow university up wake week yesterday","afternoon evening often pen pencil run sometimes today tomorrow week"
"check correct cross homework mistake out",""
"DIY Internet arts card concert doll e.g. entertainment fields film gardening gig hobbies interesing interest kinds names of play politics show sport the want","film play sport"
"clean make",""
"accounts bag bakery bank book bread card client companies cost credit customer departments dollar e.g. expensive fair florist’s for goods hankies kinds market money names necklace of pay personnel sale self-service shop store stores supermarket toy trade","book bread shop supermarket toy"
"college e.g. institution of school types university",""
"board buildings classroom computer corridor desk e.g. educational equipment hall library names of parts playground projector screen see-saw slide study swing toilet","computer desk library toilet"
"e.g. educational lecturer pupil roles student teacher tutor",""
"0–10 CD alphabet basic book both/all cardinal class classroom curricular e.g. eight eighteen eleven equipment experiment explain fifteen five four fourteen grammar history languages laptop learn lesson letters lot many mark maths names nienteen nine note nought number numbers of oh paper pen pencil personal prove question read reading receptive rubber ruler science sentence seven seventeen six sixteen slash study subject subjects sum ten terminology textbook the thirteen three tick twelve twenty two workbook written ‘/’","book class lesson many pen pencil read ruler science subject"
"education lecture test",""
"Christmas Easter date e.g. festivals go holiday names of on to weekend",""
"party",""
"-cream apple banana biscuit bread butter cheese cook cream ed food fruit ice meat names of oil pepper pizza potato rice salt soup taste tomato vegetables","banana bread food fruit potato rice soup"
"beer drinks e.g. lemonade milk names of water wine","milk"
"different",""
"ALSO bar cafe café restaurant service waiter waitress",""
"beard blood nose",""
"a antibiotic asleep aspirin awake bath because body chemist clinic cold e.g. flu have hospital hungry ill illnesses in medicine medicines names ness of pain/ache part problem tired to un well","have hospital hungry tired"
"Danger! Help! accident aid break broken burn cut fire first hurt insurance press safety security",""
"cinema movie ticket",""
"CD classical dance dancing e.g. guitar instruments kinds music musical names of piano pop violin","dance"
"and athletics basketball chess e.g. excited exciting football games ing lose ludo match names of play poker pool run snap sport sports start swimming train","play run sport train"
"+ Slow! Stop! accident accommodation ahead and buildings bus campsite car cheque city coach common drive driver e.g. garage go interest means names noise of parts picnic place plane public references return ride road roadworks ship sights sign slow smoking street taxi texts time to tow train tram transport traveller’s","car city driver plane ship slow street taxi train"
"and animal animals bird cat cod cow dog domestic e.g. egg fish flower grass horse insect kinds names of pet pets pig plant plants salmon sheep tiger tree tuna vegetable zoo","bird cat cow dog egg fish flower horse pig tiger tree vegetable"
"and change climate icy month nice rain snow storm summer weather winter y","month nice summer"
"beach cycle field river sea side","river"
"better flood",""
"Agnostic Atheist Catholic Christian Hindu Muslim Orthodox Protestant affiliations cities continents countries country e.g. foreign names nationalities nationality of religious",""
"origin tablet trade",""
"famous",""
"and e.g. gramme kilo measures metre names of weights",""
"ALSO CD DVD Internet Net TV at e-mail fax industry mobile phone photo player site television the web website written ‘@’","photo"
"art article copy draw picture report","draw picture"
"cannot kind sad","sad"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
