"CCFR Level 5 Topics & Functions",,,,,
"个人领域（Personal domain）","1.个人、家庭、朋友和周围的人（Personal，family, friends and people around）","(1) 个人信息（Personl information）","aged, baby, blonde(also blond), careful, carefully, first name, good-looking, hers, his, id, id card, information, kid, lazy, lovely, married, mine, miss, mr.…, mrs.…, ms, ms.… (writing), name of one`s own religion, o (as pronounced in telephone numbers), ours, ourselves, polite, short, simple, surname, tall, teenager, telephone number, theirs, themselves, to be born, to be from..., you, yours, yourself             ","aged also as baby be blond blonde born card careful carefully first from... good-looking hers his id in information kid lazy lovely married mine miss mr.… mrs.… ms ms.… name number numbers o of one`s ours ourselves own polite pronounced religion short simple surname tall teenager telephone theirs themselves to writing you yours yourself","baby be careful hers his information kid lazy lovely mine miss ours ourselves polite short simple tall telephone themselves to you yours"
,,"(2)个人感情（Emotions）","angry, happy, horrible, interested, kiss, pity, pleased, pleasant, surprise, surprised, think, unhappy, upset, worried, worry, wow     ","angry happy horrible interested kiss pity pleasant pleased surprise surprised think unhappy upset worried worry wow","happy kiss pity surprise think worry"
,,"(3)个人经历 (Personal experience)","adventure","adventure",
,,"(4) 家庭信息（Family information）","aunt, cousin, father and mother, grandchild, granddad(also grandad), granddaughter, grandfather, grandma, grandmother, grandpa, grandparent, grandson, granny, member, uncle       ","also and aunt cousin father grandad grandchild granddad granddaughter grandfather grandma grandmother grandpa grandparent grandson granny member mother uncle","aunt cousin granddaughter grandfather grandma grandmother grandpa grandparent grandson member uncle"
,,"(5) 朋友信息（Friends' information）","acquaintance, friends, friend, penfriend   ","acquaintance friend friends penfriend","friend"
,,"(6) 周围的人 (People around）","boyfriend, colleague, everybody, everyone, neighbour   ","boyfriend colleague everybody everyone neighbour","everybody everyone"
,"2. 周围的环境（Environment around）","(7) 房屋与住所（Houses and apartments）","apartment, building, castle, cathedral, church, corner, downstairs, hall, heating, indoor, lift, lights, names of rooms e.g. bathroom, bedroom, kitchen, toilet, living-room, on/off, pull, rent, roof, shut, side, sitting room, space, stairs, tidy, toilet, upstairs             ","apartment bathroom bedroom building castle cathedral church corner downstairs e.g. hall heating indoor kitchen lift lights living-room names of on/off pull rent roof room rooms shut side sitting space stairs tidy toilet upstairs","bedroom building corner hall kitchen lift pull shut side space tidy toilet"
,,"(8) 家具和家庭用品（Furniture and household items）","alarm clock, album, armchair, blanket, bookcase, bookshelf, bottle, box, carpet, comb, cooker, cupboard, curtain, drawer, fork, fridge, furniture, lamp, mirror, mug, names of pieces of furniture e.g. bed, chair, table; pillow, repair, scissors, sheet, shelf, sofa, spoon, television, thing, to turn on/off, toy, use, useful, washing machine                  ","alarm album armchair bed blanket bookcase bookshelf bottle box carpet chair clock comb cooker cupboard curtain drawer e.g. fork fridge furniture lamp machine mirror mug names of on/off pieces pillow repair scissors sheet shelf sofa spoon table television thing to toy turn use useful washing","bottle box chair fork fridge machine repair scissors sofa spoon television thing to toy turn use useful"
,,"(9) 社区（Community）",,,
,,"(10) 户外环境（Outside e.g. park, zoo）","bookshop, bridge, bus station, bus stop, car park, directions, east, everywhere, factory, farm, noisy, north, park, petrol station, playground, police station, post office, quiet, site, somewhere, south, square, west        ","bookshop bridge bus car directions east everywhere factory farm noisy north office park petrol playground police post quiet site somewhere south square station stop west","bridge bus east everywhere factory farm noisy north park playground police quiet somewhere south square station stop west"
